Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
Ticketgoose CPS,Offer: Rs. 25 Off*,AFTG,02/03/2016,02/29/2016,http://tracking.payoom.com/aff_c?offer_id=146&aff_id=9070&url=http%3A%2F%2Fwww.ticketgoose.com%2Fbookbustickets%2F%3Futm_source%3Dpayom%26utm_medium%3Dcpa%26utm_campaign%3DFeb16%26utm_source%3Dpayom%26utm_medium%3DCPA%26utm_campaign%3DAffilApril14
Ticketgoose CPS,Offer: 20% Instant cashback* on paying through Paytm (Up to Rs. 100),,02/03/2016,02/15/2016,http://tracking.payoom.com/aff_c?offer_id=146&aff_id=9070&url=ttp%3A%2F%2Fwww.ticketgoose.com%2Fbookbustickets%2F%3Futm_source%3Dpayom%26utm_medium%3Dcpa%26utm_campaign%3DFeb16%26utm_source%3Dpayom%26utm_medium%3DCPA%26utm_campaign%3DAffilApril14
GreenDust - CPS,75 off on purchase of 999,GD16FEB75,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
GreenDust - CPS,50 off on purchase of 499,GD16FEB50,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
GreenDust - CPS,150 off  on purchase of on 2499, GD16FEB150,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
GreenDust - CPS,250 off on 4999,GD16FEB250,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
GreenDust - CPS,350 off on 9999,GD16FEB350,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
GreenDust - CPS,500 OFF ON 14999,GD16FEB500,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
GreenDust - CPS,750 OFF ON 17500,GD16FEB750,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
GreenDust - CPS,1000 OFF ON 20000, GD16FEB1000,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
GreenDust - CPS,1500 off on 25000,GD16FEB1500,02/03/2016,03/01/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=9070&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
JoyByNature - CPS,10% flat discount ,PAYOOM10 ,02/03/2016,07/31/2016,http://tracking.payoom.com/aff_c?offer_id=796&aff_id=9070&url=http%3A%2F%2Fwww.joybynature.com%2F%3Futm_source%3DPayOOM%26utm_medium%3Daffiliate%26utm_campaign%3DPayOOM
Ruprr - CPS , Surprise your beloved a creative Valentineâ€™s Gift at Rs.500 +Extra 5% Off on Site + 15% PayTM cashback,VALE5/RUPRR15,02/04/2016,02/14/2016,http://tracking.payoom.com/aff_c?offer_id=908&aff_id=9070&url=https%3A%2F%2Fwww.ruprr.com%2Fcategories%2Fgifts%3Futm_source%3Dpayoom%26utm_medium%3Doffer%26utm_campaign%3Dvalentine_gift%26utm_source%3Dpayoom%26utm_medium%3Dbanner%26utm_campaign%3Dint-pro%C2%AD
StalkbuyLove - CPS,Get 20+5 % off on orders above Rs.1499 from the special Valentine Collection.,VALENTINE2K16,02/09/2016,02/14/2016,http://tracking.payoom.com/aff_c?offer_id=100&aff_id=9070&url=+http%3A%2F%2Fwww.stalkbuylove.com%2Fnew-collection%2Fvalentines-day.html%3Futm_source%3DPayoom%26utm_medium%3DCPS%26utm_term%3DGeneral%26utm_content%3DNone%26utm_campaign%3Dvalentine2016%26utm_source%3DPayoom%26utm_medium%3DCPS%26utm_term%3DGeneral%26utm_content%3DNone%26utm_campaign%3DJanweek2
Tolexo CPS,Flat 11% Off on Minimum Purchase of Rs.500 & above,GET11,02/10/2016,02/15/2016,http://tracking.payoom.com/aff_c?offer_id=963&aff_id=9070&url=http%3A%2F%2Fwww.tolexo.com%2F%3Futm_source%3Daff_payoom%26utm_medium%3Dcps%26utm_campaign%3Dbest_discounts%26utm_source%3Daff_payoom%26utm_medium%3Dcps%26utm_campaign%3Dbest_discounts
Tolexo CPS,Rs.75 Off on purchase of 500 & above,GET75,02/10/2016,02/15/2016,http://tracking.payoom.com/aff_c?offer_id=963&aff_id=9070&url=http%3A%2F%2Fwww.tolexo.com%2F%3Futm_source%3Daff_payoom%26utm_medium%3Dcps%26utm_campaign%3Dbest_discounts%26utm_source%3Daff_payoom%26utm_medium%3Dcps%26utm_campaign%3Dbest_discounts
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,01/02/2016,01/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,02/02/2016,02/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/What a Wednesday offer - 25% off on 350 and 100 off on 400,DHH50/TMP25/WBZ100,03/02/2016,03/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,04/02/2016,04/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/Garlic bread and dip free on 350,DHH50/NET09,05/02/2016,05/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/Garlic bread and dip free on 350,DHH50/NET09,06/02/2016,06/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/Garlic bread and dip free on 350,DHH50/NET09,07/02/2016,07/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/Unique Code/NET07,08/02/2016,08/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,09/02/2016,09/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/What a Wednesday offer - 25% off on 350 and 100 off on 400,DHH50/TMP25/WBZ100,10/02/2016,10/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,11/02/2016,11/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/100 off on 400,DHH50/WBZ100,12/02/2016,12/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/100 off on 400,DHH50/WBZ100,13/02/2016,13/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/100 off on 400,DHH50/WBZ100,14/02/2016,14/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07/Unique code,15/02/2016,15/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,16/02/2016,16/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/What a Wednesday offer - 25% off on 350 and 100 off on 400,DHH50/TMP25/WBZ100,17/02/2016,17/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,18/02/2016,18/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,Garlic bread and dip free on 350,NET09,19/02/2016,19/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,Garlic bread and dip free on 350,NET09,20/02/2016,20/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,Garlic bread and dip free on 350,NET09,21/02/2016,21/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,20% off on 350,NET07,22/02/2016,22/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,20% off on 350,NET07,23/02/2016,23/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,What a Wednesday offer - 25% off on 350 and 100 off on 400,TMP25/WBZ100,24/02/2016,24/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,20% off on 350,NET07,25/02/2016,25/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,100 off on 400,WBZ100,26/02/2016,26/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,100 off on 400,WBZ100,27/02/2016,27/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,100 off on 400,WBZ100,28/02/2016,28/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,20% off on 350,NET07,29/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fkia-fashions-bollywood-replica-heena-khan-red-designer-saree%2F16403874%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbollywood-replica-madhuri-dixit-pista-green-colored-saree%2F14712216%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fdesigner-weightless-printed-cotton-kurtis-combo-pack-of-4-kurtis-combo-k87%2F16906785%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Ffasense-women-6-pcs-set-nightwear-set-nighty-robe-top-barmuda-sleepwear%2F11903257%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fclovia-5-tier-babydoll-in-red--ns0317p04%2F15569805%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbuy-1-printed-polar-fleece-jacket-for-women--amp--get-1-plain-polar-fleece-jacket-for-men-free%2F16349634%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Festoss-set-of-3-handbag-combo---black-handbag--multicolor-clutch--amp--black-sling-pouch%2F16051498%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbuy-1-lancer-sports-shoes--amp--get-1-pure-play-shoes-free%2F16321920%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fmini-sewing-machine-portable-4-in-1-with-adapter--amp--pedal%2F14886691%3Fsc_cid%3Dsearch_sewing%2520machine%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fusb-spy-pen-camera---expandable-upto-16gb%2F16382775%3Fsc_cid%3Dsearch_sewing%2520machine%7Csearch_spy%2520pen%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fnew-complete-car-maintenance-combo%2F16287174%3Fsc_cid%3Dsearch_sewing%2520machinefixcat_browse%7Csearch_maintenance%2520combo%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fcombo-of-air-compressor--car-jack--car-tyre-repair-kit-and-multipurpose-tool%2F16287582%3Fsc_cid%3Dalpha-radios%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fjbl-t26c-on-ear-headphone-black%2F17051059%3Fsc_cid%3Dalpha-radios%7Csearch_JBL%2520earphones%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fmshop.rediff.com%2Fproduct%2F99-store%2FBuy-2-Get-2-Free-snaptic-Led-Sports-Digital-Jelly-Watch%2F15986210%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F11925782%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F13934207%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F16895564%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F16895590%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F16911878%3Fsc_cid%3Dpayoom
